Piece,Board,Current State,Current Action,Value
2,"[[0, 0, 0, 0, 0, 0], [0, 0, 0, -2, 0, 0], [1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 2, 0, 0, 0, 0]]","(4, 2)","(5, 1)",1.9
2,"[[0, 0, 0, 0, -2, 0], [0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [2, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]]","(5, 1)","(4, 0)",0.9
2,"[[0, 0, 0, 0, 0, 0], [0, 0, 0, -2, 0, 0], [1, 0, 0, 0, 0, 0], [0, 2, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]]","(4, 0)","(3, 1)",0.9
2,"[[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [1, 0, -2, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 2, 0, 0, 0], [0, 0, 0, 0, 0, 0]]","(3, 1)","(4, 2)",0.9
2,"[[0, 0, 0, 0, 0, 0], [0, -2, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 2, 0, 0, 0, 0]]","(4, 2)","(5, 1)",3.61
2,"[[0, 0, -2, 0, 0, 0], [0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 2, 0, 0, 0], [0, 0, 0, 0, 0, 0]]","(5, 1)","(4, 2)",1.71
2,"[[0, 0, 0, 0, 0, 0], [0, -2, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0], [0, 2, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]]","(4, 2)","(3, 1)",0.9
2,"[[0, 0, -2, 0, 0, 0], [0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 2, 0, 0, 0], [0, 0, 0, 0, 0, 0]]","(3, 1)","(4, 2)",0.9
1,"[[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, -2, 0, 0, 0], [0, 1, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 2, 0, 0, 0, 0]]","(2, 0)","(3, 1)",0.6000000000000001
2,"[[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 2, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, -2, 0, 0, 0, 0]]","(4, 2)","(3, 1)",2.168
2,"[[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [2, 0, -2, 0, 0, 0], [0, 0, 0, 0, 0, 0]]","(3, 1)","(4, 0)",3.2760800000000003
2,"[[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, -2, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 2, 0, 0, 0, 0]]","(4, 0)","(5, 1)",7.37118
2,"[[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [-2, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 2, 0, 0, 0], [0, 0, 0, 0, 0, 0]]","(5, 1)","(4, 2)",1.52
2,"[[0, 0, 0, 0, 0, 0], [0, -2, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 2, 0, 0, 0, 0]]","(4, 2)","(5, 1)",12.916268343341995
2,"[[-2, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [2, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]]","(5, 1)","(4, 0)",3.2760800000000003
2,"[[0, 0, 0, 0, 0, 0], [0, -2, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 2, 0, 0, 0, 0]]","(4, 0)","(5, 1)",12.916268343341995
2,"[[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [-2, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [2, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]]","(5, 1)","(4, 0)",4.173624800000001
2,"[[0, 0, 0, 0, 0, 0], [0, -2, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 2, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]]","(4, 0)","(3, 1)",5.48951523128
2,"[[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [-2, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [2, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]]","(3, 1)","(4, 0)",2.168
2,"[[0, 0, -2, 0, 0, 0], [0, 0, 0, 0, 0, -2], [0, 0, 0, 0, 0, 0], [0, 0, 0, 2, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 2]]","(4, 4)","(3, 3)",1.1
2,"[[0, 0, 0, 0, 0, 0], [0, 0, 0, -2, 0, -2], [0, 0, 2, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 2]]","(3, 3)","(2, 2)",1.1
2,"[[0, 0, 0, 0, -2, 0], [0, 0, 0, -2, 0, 0], [0, 0, 0, 0, 0, 0], [0, 2, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 2]]","(2, 2)","(3, 1)",1.1
2,"[[0, 0, 0, 0, 0, 0], [0, 0, 0, -2, 0, -2], [0, 0, 2, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 2]]","(3, 1)","(2, 2)",1.1
2,"[[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, -2], [0, 0, 0, 0, 0, 0], [0, -2, 0, 0, 0, 0], [0, 0, 0, 0, 2, 0], [0, 0, 0, 0, 0, 0]]","(5, 5)","(4, 4)",0.8
2,"[[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, -2], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 2], [-2, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]]","(4, 4)","(3, 5)",0.8
2,"[[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, -2], [0, 0, 0, 0, 2, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, -2, 0, 0, 0, 0]]","(3, 5)","(2, 4)",2.168
2,"[[0, 0, 0, 0, -2, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 2], [0, 0, 0, 0, 0, 0], [0, -2, 0, 0, 0, 0]]","(2, 4)","(3, 5)",1.52
2,"[[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, -2], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 2], [0, 0, -2, 0, 0, 0], [0, 0, 0, 0, 0, 0]]","(2, 4)","(3, 5)",0.8
2,"[[0, 0, 0, 0, -2, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 2, 0], [0, 0, 0, 0, 0, 0], [0, 0, -2, 0, 0, 0], [0, 0, 0, 0, 0, 0]]","(3, 5)","(2, 4)",0.8
2,"[[0, 0, 0, 0, 0, 0], [0, 0, 0, 2, 0, -2], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, -2, 0, 0, 0], [0, 0, 0, 0, 0, 0]]","(2, 4)","(1, 3)",0.8
2,"[[0, 0, 0, 0, -2, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 2, 0], [0, 0, 0, 0, 0, 0], [0, 0, -2, 0, 0, 0], [0, 0, 0, 0, 0, 0]]","(1, 3)","(2, 4)",0.8
2,"[[0, 0, 0, 0, -2, 0], [0, 0, 0, 0, 0, 2], [0, 0, 0, 0, 0, 0], [0, -2, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]]","(2, 4)","(1, 5)",0.8
2,"[[0, 0, 0, 0, 2, 0], [0, 0, 0, -2, 0, 0], [0, 0, 0, 0, 0, 0], [0, -2, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]]","(1, 5)","(0, 4)",0.8
2,"[[0, 0, 0, 0, 0, 0], [0, 0, 0, -2, 0, 2], [0, 0, -2, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]]","(0, 4)","(1, 5)",0.8
2,"[[0, 0, 0, 0, 2, 0], [0, 0, 0, -2, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, -2, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]]","(1, 5)","(0, 4)",0.8
2,"[[0, 0, 0, 0, 0, 0], [0, 0, 0, -2, 0, 2], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, -2, 0], [0, 0, 0, 0, 0, 0]]","(0, 4)","(1, 5)",0.8
2,"[[0, 0, 0, 0, 0, 0], [0, 0, 0, -2, 0, 0], [0, 0, 0, 0, 2, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, -2, 0, 0]]","(1, 5)","(2, 4)",0.8
2,"[[0, 0, -2, 0, 0, 0], [0, 0, 0, 2, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, -2, 0, 0]]","(2, 4)","(1, 3)",0.8
2,"[[0, 0, 0, 0, -2, 0], [0, 0, 0, -2, 0, 0], [2, 0, 0, 0, 0, 0], [0, 0, 0, -2, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]]","(3, 1)","(2, 0)",0.8
2,"[[0, 0, 0, 0, -2, 0], [0, 2, 0, 0, 0, 0], [0, 0, -2, 0, 0, 0], [0, 0, 0, -2, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]]","(2, 0)","(1, 1)",0.8
2,"[[0, 0, 2, 0, 0, 0], [0, 0, 0, 0, 0, -2], [0, 0, -2, 0, 0, 0], [0, 0, 0, -2, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]]","(1, 1)","(0, 2)",0.8
2,"[[0, 0, 0, 0, 0, 0], [0, 0, 0, 2, 0, -2], [0, 0, -2, 0, -2, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]]","(0, 2)","(1, 3)",0.8
2,"[[0, 0, 0, 0, 2, 0], [0, 0, 0, 0, 0, -2], [0, 0, -2, 0, 0, 0], [0, 0, 0, -2, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]]","(1, 3)","(0, 4)",0.8
2,"[[0, 0, 0, 0, 0, 0], [0, 0, 0, 2, 0, -2], [0, 0, -2, 0, -2, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]]","(0, 4)","(1, 3)",0.8
2,"[[0, 0, 0, 0, 2, 0], [0, -2, 0, 0, 0, -2], [0, 0, 0, 0, -2, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]]","(1, 3)","(0, 4)",0.8
2,"[[0, 0, 0, 0, 0, 0], [0, 0, 0, 2, 0, -2], [-2, 0, 0, 0, -2, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]]","(0, 4)","(1, 3)",0.8
2,"[[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, -2], [-2, 0, 2, 0, 0, 0], [0, 0, 0, -2, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]]","(1, 3)","(2, 2)",0.8
2,"[[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, -2], [-2, 0, 0, 0, 0, 0], [0, 0, 0, 2, 0, 0], [0, 0, -2, 0, 0, 0], [0, 0, 0, 0, 0, 0]]","(2, 2)","(3, 3)",0.8
2,"[[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [-2, 0, 2, 0, 0, 0], [0, 2, 0, 0, 0, 2]]","(5, 3)","(4, 2)",1.4
2,"[[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, -2, 0, 0, 0, 0], [0, 0, 2, 0, 2, 0], [0, 2, 0, 0, 0, 0]]","(5, 5)","(4, 4)",1.4
2,"[[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [-2, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 2, 0], [0, 2, 0, 2, 0, 0]]","(4, 2)","(5, 3)",2.4000000000000004
2,"[[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, -2, 0, 0, 0, 0], [2, 0, 0, 0, 2, 0], [0, 0, 0, 2, 0, 0]]","(5, 1)","(4, 0)",1.4
2,"[[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [-2, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 2], [2, 0, 0, 0, 0, 0], [0, 0, 0, 2, 0, 0]]","(4, 4)","(3, 5)",1.4
2,"[[0, 0, 0, 0, 0, 0], [0, -2, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [2, 0, 0, 0, 2, 0], [0, 0, 0, 2, 0, 0]]","(3, 5)","(4, 4)",2.66
2,"[[0, 0, -2, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 2], [2, 0, 0, 0, 0, 0], [0, 0, 0, 2, 0, 0]]","(4, 4)","(3, 5)",1.4
2,"[[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [-2, 0, 0, 0, 0, 0], [0, 2, 0, 0, 0, 0], [0, 0, 0, 0, 2, 0], [0, 0, 0, 2, 0, 0]]","(4, 0)","(3, 1)",1.4
2,"[[0, 0, 0, 0, 0, 0], [0, -2, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 2, 0, 0, 0, 0], [0, 0, 2, 0, 2, 0], [0, 0, 0, 0, 0, 0]]","(5, 3)","(4, 2)",2.66
2,"[[-2, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 2, 0, 0, 0, 0], [0, 0, 0, 0, 2, 0], [0, 2, 0, 0, 0, 0]]","(4, 2)","(5, 1)",2.4000000000000004
2,"[[0, 0, 0, 0, 0, 0], [0, -2, 0, 0, 0, 0], [0, 0, 2, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 2, 0], [0, 2, 0, 0, 0, 0]]","(3, 1)","(2, 2)",1.4
2,"[[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [-2, 0, 2, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 2, 0, 2, 0], [0, 0, 0, 0, 0, 0]]","(5, 1)","(4, 2)",1.4
2,"[[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 2, 0, 0, 0], [0, -2, 0, 0, 0, 0], [0, 0, 0, 0, 2, 0], [0, 2, 0, 0, 0, 0]]","(4, 2)","(5, 1)",2.4000000000000004
2,"[[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 2, 0, 0], [0, 0, -2, 0, 2, 0], [0, 2, 0, 0, 0, 0]]","(2, 2)","(3, 3)",1.4
2,"[[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, -2, 0, 2, 0, 0], [0, 0, 2, 0, 2, 0], [0, 0, 0, 0, 0, 0]]","(5, 1)","(4, 2)",1.4
2,"[[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, -2, 0, 0, 0], [0, 0, 0, 2, 0, 2], [0, 0, 2, 0, 0, 0], [0, 0, 0, 0, 0, 0]]","(4, 4)","(3, 5)",1.4
2,"[[0, 0, 0, 0, 0, 0], [0, 0, 0, -2, 0, 0], [0, 0, 2, 0, 0, 0], [0, 0, 0, 0, 0, 2], [0, 0, 2, 0, 0, 0], [0, 0, 0, 0, 0, 0]]","(3, 3)","(2, 2)",1.4
2,"[[0, 0, 0, 0, -2, 0], [0, 0, 0, 0, 0, 0], [0, 0, 2, 0, 0, 0], [0, 0, 0, 2, 0, 2], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]]","(4, 2)","(3, 3)",1.4
2,"[[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, -2], [0, 0, 2, 0, 0, 0], [0, 0, 0, 2, 0, 0], [0, 0, 0, 0, 2, 0], [0, 0, 0, 0, 0, 0]]","(3, 5)","(4, 4)",1.4
2,"[[0, 0, 0, 0, -2, 0], [0, 0, 0, 0, 0, 0], [0, 0, 2, 0, 0, 0], [0, 0, 0, 2, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 2]]","(4, 4)","(5, 5)",2.4000000000000004
2,"[[0, 0, 0, 0, 0, 0], [0, 2, 0, 0, 0, -2], [0, 0, 0, 0, 0, 0], [0, 0, 0, 2, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 2]]","(2, 2)","(1, 1)",1.4
2,"[[0, 0, 0, 0, 0, 0], [0, 2, 0, 0, 0, 0], [0, 0, 0, 0, -2, 0], [0, 0, 0, 2, 0, 0], [0, 0, 0, 0, 2, 0], [0, 0, 0, 0, 0, 0]]","(5, 5)","(4, 4)",1.4
2,"[[0, 0, 0, 0, 0, 0], [0, 2, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 2, 0, -2], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 2]]","(4, 4)","(5, 5)",2.4000000000000004
2,"[[0, 0, 0, 0, 0, 0], [0, 2, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 2, 0, -2, 0], [0, 0, 0, 0, 0, 2]]","(3, 3)","(4, 2)",1.4
2,"[[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [2, 0, 0, 0, 0, 0], [0, 0, 0, -2, 0, 0], [0, 0, 2, 0, 0, 0], [0, 0, 0, 0, 0, 2]]","(1, 1)","(2, 0)",1.4
2,"[[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 2, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, -2, 0, 0, 0, 2]]","(2, 0)","(3, 1)",1.1
2,"[[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [2, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [-2, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 2]]","(3, 1)","(2, 0)",1.1
2,"[[0, 0, 0, 0, 0, 0], [0, 2, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, -2, 0, 0, 0, 2]]","(2, 0)","(1, 1)",1.1
2,"[[0, 0, 0, 0, 0, 0], [0, 2, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [-2, 0, 0, 0, 2, 0], [0, 0, 0, 0, 0, 0]]","(5, 5)","(4, 4)",2.0900000000000003
2,"[[0, 0, 0, 0, 0, 0], [0, 2, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, -2, 0, 0, 0, 2]]","(4, 4)","(5, 5)",3.99
2,"[[0, 0, 2, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [-2, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 2]]","(1, 1)","(0, 2)",1.1
2,"[[0, 0, 0, 0, 0, 0], [0, 0, 0, 2, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, -2, 0, 0, 0, 2]]","(0, 2)","(1, 3)",1.1
2,"[[0, 0, 0, 0, 2, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [-2, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 2]]","(1, 3)","(0, 4)",1.1
2,"[[0, 0, 0, 0, 0, 0], [0, 0, 0, 2, 0, 0], [0, 0, 0, 0, 0, 0], [0, -2, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 2]]","(0, 4)","(1, 3)",2.0900000000000003
2,"[[0, 0, 0, 0, 0, 0], [0, 0, 0, 2, 0, 0], [0, 0, -2, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 2, 0], [0, 0, 0, 0, 0, 0]]","(5, 5)","(4, 4)",1.1
2,"[[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 2, 0, 0, 0], [0, 0, 0, -2, 0, 0], [0, 0, 0, 0, 2, 0], [0, 0, 0, 0, 0, 0]]","(1, 3)","(2, 2)",1.1
2,"[[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 2, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, -2]]","(2, 2)","(3, 1)",2.168
2,"[[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [2, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, -2, 0], [0, 0, 0, 0, 0, 0]]","(3, 1)","(2, 0)",6.169856603603121
2,"[[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 2, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, -2]]","(2, 0)","(3, 1)",3.2760800000000003
2,"[[0, 0, 0, 0, 0, 0], [0, 0, 0, 2, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, -2, 0, 0, 0, 0]]","(0, 2)","(1, 3)",0.8
2,"[[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 2, 0, 0, 0], [0, 0, 0, 0, 0, 0], [-2, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]]","(1, 3)","(2, 2)",3.748472000000001
2,"[[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 2, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, -2, 0, 0, 0, 0]]","(2, 2)","(3, 1)",1.52
2,"[[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 2, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, -2, 0, 0, 0], [0, 0, 0, 0, 0, 0]]","(3, 1)","(2, 2)",4.556262320000001
2,"[[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 2, 0], [0, 0, 0, 0, 0, 0]]","(2, 2)","(4, 4)",17.805242
2,"[[0, 0, 0, 0, 0, 0], [0, 0, 0, -2, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 2, 0], [0, -2, 0, 0, 0, 0]]","(5, 3)","(4, 4)",1.52
2,"[[0, 0, 0, 0, 0, 0], [0, 0, 0, -2, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 2, 0, 0], [0, 0, -2, 0, 0, 0], [0, 0, 0, 0, 0, 0]]","(4, 4)","(3, 3)",0.8
2,"[[0, 0, 0, 0, 0, 0], [0, 0, 0, -2, 0, 0], [0, 0, 2, 0, 0, 0], [0, -2, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]]","(3, 3)","(2, 2)",1.52
2,"[[0, 0, 0, 0, 0, 0], [0, 2, 0, -2, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, -2, 0, 0, 0], [0, 0, 0, 0, 0, 0]]","(2, 2)","(1, 1)",0.8
2,"[[0, 0, -2, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 2, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, -2, 0, 0, 0], [0, 0, 0, 0, 0, 0]]","(1, 1)","(2, 2)",2.168
2,"[[0, 0, 0, 0, 0, 0], [0, -2, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 2, 0, 0, 0, 0], [0, 0, -2, 0, 0, 0], [0, 0, 0, 0, 0, 0]]","(2, 2)","(3, 1)",1.52
2,"[[0, 0, 0, 0, 0, 0], [0, -2, 0, 0, 0, 0], [0, 0, 2, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, -2, 0, 0]]","(3, 1)","(2, 2)",0.8
2,"[[2, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, -2, 0], [0, 0, 0, 0, 0, 0]]","(2, 2)","(0, 0)",3.8
2,"[[0, 0, 0, 0, 0, 0], [0, 2, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, -2]]","(0, 0)","(1, 1)",2.7512000000000003
2,"[[0, 0, 0, 0, 2, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, -2, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]]","(1, 3)","(0, 4)",2.7512000000000003
2,"[[0, 0, 0, 0, 0, 0], [0, 0, 0, 2, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, -2, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]]","(0, 4)","(1, 3)",1.52
2,"[[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 2, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]]","(1, 3)","(3, 1)",17.805242
2,"[[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [-2, 0, 0, 0, 2, 0], [0, 1, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 2, 0, 0, 0, 0]]","(4, 2)","(5, 1)",2.2
